symptoms,disease
"weakness,nausea,fever",Malaria
"fever,runny nose,nausea",Allergy
"headache,shortness of breath,cough",COVID-19
"fever,vomiting,body ache",Malaria
"chills,vomiting,body ache",Malaria
"shortness of breath,sore throat,body ache",COVID-19
"body ache,weakness,chills",Malaria
"headache,vomiting,shortness of breath",Malaria
"weakness,fever,cough",Malaria
"muscle pain,sore throat,headache",Flu
"muscle pain,sore throat,body ache",Malaria
"muscle pain,chills,shortness of breath",Flu
"vomiting,shortness of breath,chills",Malaria
"sore throat,muscle pain,shortness of breath",COVID-19
"nausea,headache,cough",COVID-19
"fever,chills,vomiting",Flu
"sore throat,fever,body ache",Malaria
"vomiting,nausea,body ache",Malaria
"chills,muscle pain,nausea",Flu
"vomiting,weakness,sore throat",Malaria
"fever,cough,vomiting",Malaria
"vomiting,sore throat,body ache",Malaria
"shortness of breath,sore throat,runny nose",COVID-19
"cough,muscle pain,chills",Flu
"cough,sore throat,nausea",COVID-19
"body ache,sore throat,cough",Malaria
"chills,fever,cough",Flu
"nausea,sore throat,runny nose",Allergy
"shortness of breath,chills,runny nose",COVID-19
"runny nose,body ache,headache",Malaria
"weakness,sore throat,muscle pain",Malaria
"sore throat,fever,nausea",Flu
"muscle pain,runny nose,weakness",Flu
"body ache,runny nose,chills",Malaria
"runny nose,cough,fever",COVID-19
"sore throat,cough,weakness",COVID-19
"fever,runny nose,muscle pain",Flu
"weakness,chills,headache",Flu
"cough,fever,vomiting",Malaria
"sore throat,fever,muscle pain",Flu
"cough,fever,chills",Flu
"vomiting,shortness of breath,body ache",Malaria
"vomiting,sore throat,nausea",Malaria
"nausea,runny nose,shortness of breath",COVID-19
"nausea,vomiting,headache",Malaria
"runny nose,nausea,headache",Flu
"vomiting,nausea,runny nose",Malaria
"weakness,body ache,runny nose",Malaria
"body ache,vomiting,runny nose",Malaria
"runny nose,body ache,fever",Malaria
"shortness of breath,muscle pain,headache",Flu
"vomiting,cough,weakness",Malaria
"body ache,weakness,cough",Malaria
"vomiting,weakness,headache",Malaria
"nausea,vomiting,runny nose",Malaria
"cough,sore throat,fever",COVID-19
"body ache,fever,chills",Flu
"headache,shortness of breath,chills",Flu
"chills,vomiting,sore throat",Malaria
"sore throat,body ache,cough",Malaria
"nausea,fever,runny nose",Allergy
"shortness of breath,muscle pain,vomiting",COVID-19
"headache,vomiting,shortness of breath",Malaria
"shortness of breath,chills,runny nose",COVID-19
"runny nose,headache,sore throat",Flu
"fever,headache,weakness",Flu
"runny nose,chills,sore throat",Flu
"runny nose,nausea,sore throat",Allergy
"sore throat,fever,chills",Flu
"vomiting,cough,shortness of breath",COVID-19
"shortness of breath,nausea,body ache",Malaria
"shortness of breath,cough,chills",COVID-19
"fever,sore throat,body ache",Malaria
"muscle pain,nausea,headache",Flu
"runny nose,nausea,fever",Allergy
"runny nose,muscle pain,chills",Flu
"chills,cough,weakness",COVID-19
"nausea,runny nose,cough",COVID-19
"headache,sore throat,vomiting",Malaria
"muscle pain,cough,weakness",Flu
"chills,sore throat,vomiting",Malaria
"sore throat,cough,headache",COVID-19
"weakness,chills,nausea",Malaria
"body ache,sore throat,vomiting",Malaria
"nausea,fever,runny nose",Allergy
"headache,cough,chills",Flu
"cough,runny nose,vomiting",Malaria
"nausea,headache,muscle pain",Flu
"body ache,runny nose,headache",Malaria
"headache,cough,weakness",COVID-19
"weakness,body ache,chills",Malaria
"nausea,runny nose,muscle pain",Flu
"cough,shortness of breath,vomiting",COVID-19
"weakness,shortness of breath,fever",COVID-19
"runny nose,fever,headache",Flu
"cough,nausea,shortness of breath",COVID-19
"fever,chills,body ache",Flu
"nausea,vomiting,cough",Malaria
"chills,headache,muscle pain",Flu
"sore throat,nausea,runny nose",Allergy
"headache,weakness,chills",Flu
"fever,weakness,headache",Flu
"weakness,fever,vomiting",Malaria
"chills,sore throat,nausea",Flu
"shortness of breath,runny nose,fever",COVID-19
"chills,runny nose,weakness",Allergy
"fever,muscle pain,shortness of breath",Flu
"cough,shortness of breath,nausea",COVID-19
"muscle pain,cough,nausea",Flu
"sore throat,shortness of breath,vomiting",COVID-19
"vomiting,cough,fever",Malaria
"vomiting,runny nose,weakness",Malaria
"weakness,shortness of breath,fever",COVID-19
"weakness,cough,runny nose",Malaria
"sore throat,muscle pain,chills",Flu
"fever,headache,vomiting",Flu
"vomiting,shortness of breath,headache",Malaria
"sore throat,chills,cough",COVID-19
"weakness,fever,muscle pain",Flu
"runny nose,weakness,fever",Malaria
"vomiting,body ache,muscle pain",Malaria
"shortness of breath,body ache,nausea",Malaria
"body ache,sore throat,fever",Malaria
"weakness,chills,muscle pain",Flu
"sore throat,vomiting,headache",Malaria
"sore throat,fever,muscle pain",Flu
"fever,nausea,weakness",Malaria
"fever,body ache,nausea",Malaria
"chills,cough,vomiting",Malaria
"muscle pain,weakness,chills",Flu
"muscle pain,runny nose,sore throat",Flu
"headache,runny nose,nausea",Allergy
"headache,vomiting,chills",Flu
"headache,runny nose,nausea",Allergy
"weakness,sore throat,muscle pain",Malaria
"vomiting,shortness of breath,muscle pain",Malaria
"runny nose,body ache,chills",Malaria
"weakness,muscle pain,headache",Flu
"runny nose,vomiting,muscle pain",Malaria
"weakness,body ache,headache",Malaria
"runny nose,weakness,muscle pain",Malaria
"shortness of breath,sore throat,fever",COVID-19
"runny nose,fever,muscle pain",Flu
"chills,muscle pain,headache",Flu
"body ache,muscle pain,weakness",Malaria
"muscle pain,weakness,headache",Flu
"chills,body ache,muscle pain",Flu
"headache,chills,weakness",Flu
"sore throat,shortness of breath,headache",COVID-19
"runny nose,nausea,weakness",Malaria
"nausea,fever,weakness",Malaria
"headache,cough,weakness",COVID-19
"cough,muscle pain,weakness",COVID-19
"nausea,shortness of breath,chills",COVID-19
"nausea,shortness of breath,muscle pain",COVID-19
"sore throat,headache,weakness",Malaria
"vomiting,body ache,weakness",Malaria
"muscle pain,weakness,chills",Flu
"fever,nausea,body ache",Malaria
"cough,fever,runny nose",COVID-19
"headache,runny nose,weakness",Allergy
"nausea,runny nose,fever",Allergy
"body ache,nausea,vomiting",Malaria
"shortness of breath,runny nose,nausea",COVID-19
"runny nose,sore throat,vomiting",Malaria
"vomiting,shortness of breath,chills",Malaria
"vomiting,chills,muscle pain",Flu
"body ache,headache,vomiting",Malaria
"nausea,weakness,cough",Malaria
"chills,muscle pain,vomiting",Flu
"runny nose,muscle pain,shortness of breath",COVID-19
"shortness of breath,vomiting,fever",COVID-19
"headache,nausea,muscle pain",Flu
"sore throat,cough,muscle pain",COVID-19
"body ache,sore throat,runny nose",Malaria
"sore throat,nausea,cough",COVID-19
"sore throat,body ache,weakness",Malaria
"vomiting,headache,chills",Flu
"sore throat,runny nose,cough",COVID-19
"body ache,nausea,muscle pain",Malaria
"shortness of breath,fever,chills",Flu
"muscle pain,body ache,nausea",Malaria
"body ache,fever,cough",Malaria
"nausea,shortness of breath,weakness",Malaria
"sore throat,vomiting,chills",Malaria
"shortness of breath,runny nose,cough",COVID-19
"cough,sore throat,headache",COVID-19
"vomiting,muscle pain,runny nose",Malaria
"vomiting,chills,shortness of breath",Malaria
"chills,weakness,body ache",Malaria
"shortness of breath,weakness,fever",COVID-19
"shortness of breath,sore throat,muscle pain",COVID-19
"body ache,sore throat,cough",Malaria
"cough,weakness,fever",COVID-19
"muscle pain,shortness of breath,body ache",COVID-19
"weakness,shortness of breath,muscle pain",COVID-19
"chills,runny nose,fever",Flu
"cough,nausea,body ache",Malaria
"sore throat,fever,body ache",Malaria
"chills,fever,runny nose",Flu
"body ache,headache,weakness",Malaria
"weakness,cough,muscle pain",Malaria
"body ache,vomiting,cough",Malaria
"vomiting,muscle pain,shortness of breath",Malaria
"shortness of breath,muscle pain,chills",Flu
"headache,vomiting,runny nose",Malaria
"muscle pain,body ache,shortness of breath",Malaria
"body ache,vomiting,headache",Malaria
"runny nose,headache,weakness",Flu
"cough,chills,nausea",COVID-19
"cough,fever,body ache",Malaria
"shortness of breath,weakness,body ache",Malaria
"muscle pain,headache,runny nose",Flu
"sore throat,nausea,fever",Flu
"headache,body ache,fever",Flu
"nausea,vomiting,muscle pain",Malaria
"nausea,vomiting,weakness",Malaria
"runny nose,chills,sore throat",Flu
"weakness,headache,shortness of breath",COVID-19
"body ache,vomiting,fever",Malaria
"body ache,weakness,muscle pain",Malaria
"chills,shortness of breath,vomiting",COVID-19
"weakness,cough,vomiting",Malaria
"chills,vomiting,fever",Flu
"vomiting,cough,muscle pain",Malaria
"shortness of breath,chills,muscle pain",Flu
"runny nose,body ache,nausea",Malaria
"chills,fever,runny nose",Flu
"sore throat,shortness of breath,headache",COVID-19
"headache,shortness of breath,cough",COVID-19
"muscle pain,headache,shortness of breath",Flu
"weakness,muscle pain,cough",Malaria
"body ache,sore throat,chills",Malaria
"body ache,nausea,weakness",Malaria
"nausea,headache,weakness",Malaria
"shortness of breath,vomiting,weakness",Malaria
"weakness,shortness of breath,chills",COVID-19
"cough,headache,nausea",COVID-19
"muscle pain,body ache,chills",Flu
"weakness,sore throat,vomiting",Malaria
"chills,muscle pain,fever",Flu
"body ache,weakness,runny nose",Malaria
"weakness,fever,chills",Flu
"nausea,body ache,muscle pain",Malaria
"nausea,vomiting,body ache",Malaria
"fever,headache,chills",Flu
"body ache,muscle pain,fever",Flu
"nausea,shortness of breath,chills",COVID-19
"nausea,headache,weakness",Malaria
"chills,weakness,sore throat",Malaria
"nausea,chills,shortness of breath",COVID-19
"chills,headache,body ache",Flu
"chills,muscle pain,weakness",Flu
"vomiting,headache,cough",Malaria
"vomiting,nausea,fever",Malaria
"cough,headache,runny nose",Allergy
"body ache,sore throat,runny nose",Malaria
"shortness of breath,headache,vomiting",COVID-19
"chills,weakness,fever",Flu
"chills,headache,vomiting",Flu
"body ache,sore throat,shortness of breath",Malaria
"runny nose,vomiting,body ache",Malaria
"weakness,fever,body ache",Malaria
"body ache,runny nose,weakness",Malaria
"headache,sore throat,runny nose",Allergy
"shortness of breath,nausea,runny nose",COVID-19
"headache,runny nose,cough",Allergy
"weakness,sore throat,body ache",Malaria
"fever,sore throat,runny nose",Cold
"weakness,cough,nausea",Malaria
"muscle pain,nausea,shortness of breath",COVID-19
"chills,runny nose,muscle pain",Flu
"body ache,fever,weakness",Malaria
"runny nose,vomiting,muscle pain",Malaria
"chills,runny nose,vomiting",Allergy
"runny nose,nausea,chills",Flu
"headache,chills,shortness of breath",Flu
"headache,vomiting,nausea",Malaria
"runny nose,headache,shortness of breath",Flu
"chills,cough,headache",Flu
"headache,weakness,runny nose",Allergy
"body ache,shortness of breath,runny nose",Malaria
"chills,nausea,vomiting",Malaria
"headache,chills,weakness",Flu
"nausea,body ache,chills",Malaria
"runny nose,nausea,weakness",Malaria
"chills,fever,cough",Flu
"body ache,fever,headache",Flu
"headache,chills,sore throat",Flu
"fever,weakness,cough",Malaria
"vomiting,weakness,headache",Malaria
"muscle pain,cough,weakness",Flu
"sore throat,body ache,shortness of breath",Malaria
"shortness of breath,runny nose,fever",COVID-19
"sore throat,muscle pain,nausea",Flu
"runny nose,muscle pain,chills",Flu
"muscle pain,shortness of breath,fever",Flu
"runny nose,cough,sore throat",COVID-19
"cough,nausea,fever",COVID-19
"muscle pain,sore throat,vomiting",Malaria
"runny nose,fever,chills",Flu
"body ache,chills,fever",Flu
"weakness,nausea,sore throat",Malaria
"muscle pain,shortness of breath,headache",Flu
"cough,body ache,weakness",Malaria
"muscle pain,runny nose,nausea",Flu
"fever,vomiting,cough",Malaria
"headache,sore throat,nausea",Flu
"runny nose,shortness of breath,cough",COVID-19
"chills,runny nose,nausea",Allergy
"weakness,chills,fever",Flu
"weakness,shortness of breath,nausea",Malaria
"headache,sore throat,vomiting",Malaria
"shortness of breath,muscle pain,nausea",COVID-19
"chills,shortness of breath,sore throat",COVID-19
"weakness,cough,sore throat",Malaria
"cough,body ache,shortness of breath",COVID-19
"muscle pain,chills,cough",Flu
"vomiting,cough,runny nose",Malaria
"nausea,cough,muscle pain",COVID-19
"headache,chills,vomiting",Flu
"runny nose,sore throat,vomiting",Malaria
"headache,vomiting,chills",Flu
"cough,weakness,vomiting",Malaria
"body ache,sore throat,runny nose",Malaria
"headache,shortness of breath,cough",COVID-19
"nausea,chills,vomiting",Malaria
"sore throat,headache,vomiting",Malaria
"nausea,headache,body ache",Malaria
"nausea,sore throat,fever",Flu
"sore throat,body ache,muscle pain",Malaria
"shortness of breath,body ache,headache",COVID-19
"cough,sore throat,headache",COVID-19
"fever,muscle pain,vomiting",Flu
"cough,body ache,nausea",Malaria
"sore throat,body ache,vomiting",Malaria
"chills,vomiting,cough",Malaria
"cough,vomiting,chills",Malaria
"fever,headache,muscle pain",Flu
"runny nose,shortness of breath,sore throat",COVID-19
"weakness,headache,fever",Flu
"sore throat,runny nose,fever",Allergy
"sore throat,headache,nausea",Flu
"nausea,vomiting,chills",Malaria
"headache,muscle pain,fever",Flu
"fever,headache,shortness of breath",Flu
"shortness of breath,muscle pain,vomiting",COVID-19
"headache,vomiting,shortness of breath",Malaria
"cough,headache,nausea",COVID-19
"vomiting,fever,cough",Malaria
"runny nose,weakness,headache",Flu
"runny nose,chills,nausea",Flu
"fever,nausea,weakness",Malaria
"vomiting,nausea,body ache",Malaria
"body ache,cough,fever",Malaria
"body ache,runny nose,headache",Malaria
"weakness,runny nose,muscle pain",Malaria
"nausea,cough,vomiting",Malaria
"nausea,headache,body ache",Malaria
"nausea,sore throat,body ache",Malaria
"vomiting,body ache,shortness of breath",Malaria
"headache,nausea,vomiting",Malaria
"chills,runny nose,shortness of breath",Allergy
"weakness,chills,vomiting",Malaria
"chills,nausea,weakness",Malaria
"body ache,cough,shortness of breath",COVID-19
"nausea,cough,fever",COVID-19
"headache,muscle pain,body ache",Flu
"chills,weakness,sore throat",Malaria
"runny nose,shortness of breath,fever",COVID-19
"fever,headache,muscle pain",Flu
"cough,vomiting,headache",Malaria
"fever,nausea,cough",COVID-19
"body ache,weakness,fever",Malaria
"fever,vomiting,runny nose",Malaria
"fever,chills,nausea",Flu
"fever,sore throat,runny nose",Cold
"vomiting,cough,nausea",Malaria
"chills,shortness of breath,nausea",COVID-19
"headache,cough,chills",Flu
"body ache,chills,weakness",Malaria
"runny nose,nausea,cough",COVID-19
"sore throat,body ache,vomiting",Malaria
"vomiting,body ache,fever",Malaria
"sore throat,muscle pain,runny nose",Flu
"chills,cough,sore throat",COVID-19
"body ache,headache,cough",Malaria
"fever,sore throat,cough",COVID-19
"headache,body ache,sore throat",Malaria
"muscle pain,cough,vomiting",Malaria
"chills,sore throat,shortness of breath",COVID-19
"muscle pain,chills,headache",Flu
"muscle pain,chills,weakness",Flu
"headache,sore throat,muscle pain",Flu
"runny nose,weakness,headache",Flu
"muscle pain,sore throat,fever",Flu
"sore throat,runny nose,fever",Allergy
"sore throat,runny nose,headache",Flu
"cough,shortness of breath,nausea",COVID-19
"weakness,runny nose,cough",Malaria
"runny nose,fever,body ache",Malaria
"muscle pain,weakness,nausea",Malaria
"weakness,cough,nausea",Malaria
"chills,muscle pain,fever",Flu
"nausea,sore throat,fever",Flu
"fever,sore throat,vomiting",Malaria
"runny nose,vomiting,body ache",Malaria
"nausea,body ache,chills",Malaria
"body ache,fever,weakness",Malaria
"cough,sore throat,body ache",Malaria
"headache,weakness,chills",Flu
"headache,shortness of breath,chills",Flu
"shortness of breath,cough,sore throat",COVID-19
"cough,vomiting,runny nose",Malaria
"shortness of breath,cough,weakness",COVID-19
"sore throat,vomiting,muscle pain",Malaria
"muscle pain,weakness,runny nose",Flu
"nausea,fever,body ache",Malaria
"runny nose,muscle pain,vomiting",Malaria
"chills,sore throat,nausea",Flu
"nausea,sore throat,weakness",Malaria
"headache,muscle pain,nausea",Flu
"body ache,weakness,sore throat",Malaria
"weakness,chills,vomiting",Malaria
"body ache,weakness,muscle pain",Malaria
"nausea,fever,body ache",Malaria
"headache,sore throat,runny nose",Allergy
"weakness,chills,runny nose",Allergy
"shortness of breath,sore throat,vomiting",COVID-19
"sore throat,headache,muscle pain",Flu
"muscle pain,vomiting,weakness",Malaria
"shortness of breath,chills,vomiting",COVID-19
"chills,headache,fever",Flu
"body ache,weakness,chills",Malaria
"body ache,sore throat,chills",Malaria
"shortness of breath,cough,weakness",COVID-19
"shortness of breath,cough,muscle pain",COVID-19
"muscle pain,body ache,vomiting",Malaria
"sore throat,runny nose,muscle pain",Flu
"weakness,cough,chills",Malaria
"muscle pain,chills,nausea",Flu
"fever,weakness,runny nose",Malaria
"weakness,chills,vomiting",Malaria
"chills,nausea,weakness",Malaria
"shortness of breath,vomiting,weakness",Malaria
"runny nose,nausea,weakness",Malaria
"runny nose,fever,nausea",Allergy
"shortness of breath,fever,sore throat",COVID-19
"muscle pain,headache,nausea",Flu
"nausea,shortness of breath,fever",COVID-19
"sore throat,shortness of breath,chills",COVID-19
"sore throat,chills,shortness of breath",COVID-19
"weakness,muscle pain,body ache",Malaria
"shortness of breath,body ache,sore throat",COVID-19
"headache,weakness,fever",Flu
"nausea,body ache,fever",Malaria
"sore throat,headache,muscle pain",Flu
"runny nose,nausea,muscle pain",Flu
"fever,body ache,runny nose",Malaria
"vomiting,fever,weakness",Malaria
"body ache,muscle pain,vomiting",Malaria
"chills,cough,shortness of breath",COVID-19
"runny nose,weakness,body ache",Malaria
"runny nose,chills,sore throat",Flu
"body ache,chills,nausea",Malaria
"nausea,headache,cough",COVID-19
"weakness,chills,fever",Flu
"headache,shortness of breath,weakness",COVID-19
"cough,fever,body ache",Malaria
"nausea,headache,runny nose",Allergy
"body ache,vomiting,cough",Malaria
"sore throat,weakness,vomiting",Malaria
"runny nose,shortness of breath,cough",COVID-19
"shortness of breath,headache,runny nose",COVID-19
"cough,fever,chills",Flu
"cough,muscle pain,sore throat",COVID-19
"headache,runny nose,muscle pain",Flu
"sore throat,shortness of breath,weakness",COVID-19
"cough,body ache,weakness",Malaria
"weakness,shortness of breath,sore throat",COVID-19
"muscle pain,fever,weakness",Flu
"shortness of breath,body ache,chills",COVID-19
"nausea,muscle pain,weakness",Malaria
"muscle pain,shortness of breath,vomiting",COVID-19
"cough,sore throat,shortness of breath",COVID-19
"runny nose,vomiting,nausea",Malaria
"cough,weakness,chills",COVID-19
"chills,cough,headache",Flu
"sore throat,body ache,chills",Malaria
"sore throat,vomiting,fever",Malaria
"runny nose,cough,weakness",COVID-19
"muscle pain,weakness,nausea",Malaria
"weakness,runny nose,chills",Malaria
"chills,headache,cough",Flu
"body ache,fever,headache",Flu
"chills,body ache,runny nose",Malaria
"fever,vomiting,body ache",Malaria
"fever,chills,cough",Flu
"fever,nausea,headache",Flu
"runny nose,fever,sore throat",Cold
"vomiting,fever,sore throat",Malaria
"nausea,chills,weakness",Malaria
"nausea,sore throat,chills",Flu
"chills,vomiting,fever",Flu
"weakness,chills,shortness of breath",COVID-19
"weakness,chills,headache",Flu
"body ache,muscle pain,headache",Flu
"nausea,cough,fever",COVID-19
"shortness of breath,weakness,nausea",Malaria
"shortness of breath,sore throat,weakness",COVID-19
"headache,runny nose,fever",Flu
"chills,nausea,headache",Flu
"cough,weakness,fever",COVID-19
"sore throat,shortness of breath,body ache",COVID-19
"headache,weakness,fever",Flu
"vomiting,runny nose,sore throat",Malaria
"vomiting,cough,shortness of breath",COVID-19
"weakness,fever,vomiting",Malaria
"headache,runny nose,cough",Allergy
"cough,headache,vomiting",Malaria
"shortness of breath,sore throat,fever",COVID-19
"weakness,muscle pain,nausea",Malaria
"body ache,sore throat,cough",Malaria
"headache,body ache,chills",Flu
"runny nose,fever,muscle pain",Flu
"vomiting,body ache,shortness of breath",Malaria
"cough,muscle pain,runny nose",COVID-19
"shortness of breath,weakness,runny nose",COVID-19
"cough,muscle pain,nausea",COVID-19
"runny nose,body ache,muscle pain",Malaria
"runny nose,cough,sore throat",COVID-19
"nausea,sore throat,body ache",Malaria
"sore throat,weakness,runny nose",Malaria
"shortness of breath,chills,cough",COVID-19
"shortness of breath,weakness,headache",COVID-19
"body ache,fever,cough",Malaria
"fever,cough,weakness",COVID-19
"chills,shortness of breath,headache",Flu
"muscle pain,nausea,cough",Flu
"fever,headache,shortness of breath",Flu
"headache,sore throat,body ache",Malaria
"headache,fever,sore throat",Flu
"shortness of breath,chills,body ache",COVID-19
"fever,cough,headache",Flu
"shortness of breath,headache,nausea",COVID-19
"weakness,chills,body ache",Malaria
"headache,weakness,sore throat",Malaria
"muscle pain,vomiting,weakness",Malaria
"vomiting,chills,sore throat",Malaria
"weakness,headache,vomiting",Malaria
"weakness,fever,body ache",Malaria
"headache,chills,runny nose",Flu
"nausea,headache,muscle pain",Flu
"runny nose,fever,headache",Flu
"weakness,runny nose,fever",Malaria
"nausea,weakness,muscle pain",Malaria
"nausea,fever,chills",Flu
"vomiting,chills,body ache",Malaria
"body ache,muscle pain,sore throat",Malaria
"chills,sore throat,muscle pain",Flu
"fever,shortness of breath,nausea",COVID-19
"chills,runny nose,cough",Allergy
"runny nose,muscle pain,chills",Flu
"fever,chills,sore throat",Flu
"runny nose,weakness,nausea",Malaria
"headache,muscle pain,weakness",Flu
"headache,muscle pain,chills",Flu
"cough,vomiting,shortness of breath",COVID-19
"vomiting,chills,fever",Flu
"chills,shortness of breath,body ache",COVID-19
"vomiting,weakness,body ache",Malaria
"nausea,body ache,fever",Malaria
"fever,runny nose,sore throat",Cold
"headache,muscle pain,fever",Flu
"chills,weakness,shortness of breath",COVID-19
"fever,muscle pain,headache",Flu
"headache,chills,sore throat",Flu
"headache,chills,body ache",Flu
"vomiting,weakness,cough",Malaria
"cough,nausea,headache",COVID-19
"chills,body ache,weakness",Malaria
"cough,muscle pain,headache",Flu
"vomiting,fever,chills",Flu
"nausea,fever,cough",COVID-19
"weakness,cough,sore throat",Malaria
"nausea,headache,fever",Flu
"runny nose,shortness of breath,weakness",COVID-19
"cough,headache,sore throat",COVID-19
"cough,body ache,fever",Malaria
"headache,cough,chills",Flu
"vomiting,nausea,muscle pain",Malaria
"headache,cough,weakness",COVID-19
"nausea,runny nose,shortness of breath",COVID-19
"shortness of breath,muscle pain,vomiting",COVID-19
"vomiting,headache,weakness",Malaria
"fever,nausea,muscle pain",Flu
"shortness of breath,chills,runny nose",COVID-19
"sore throat,fever,runny nose",Allergy
"shortness of breath,chills,fever",Flu
"vomiting,fever,chills",Flu
"runny nose,muscle pain,vomiting",Malaria
"runny nose,cough,weakness",COVID-19
"cough,runny nose,vomiting",Malaria
"shortness of breath,muscle pain,runny nose",COVID-19
"fever,cough,shortness of breath",COVID-19
"headache,body ache,runny nose",Malaria
"chills,weakness,body ache",Malaria
"fever,muscle pain,sore throat",Flu
"fever,shortness of breath,muscle pain",Flu
"runny nose,vomiting,headache",Malaria
"cough,vomiting,shortness of breath",COVID-19
"headache,body ache,weakness",Malaria
"runny nose,fever,headache",Flu
"weakness,chills,runny nose",Allergy
"runny nose,headache,cough",Flu
"cough,body ache,nausea",Malaria
"cough,fever,shortness of breath",COVID-19
"runny nose,muscle pain,fever",Flu
"chills,vomiting,body ache",Malaria
"muscle pain,cough,weakness",Flu
"body ache,shortness of breath,weakness",Malaria
"headache,fever,cough",Flu
"runny nose,shortness of breath,vomiting",COVID-19
"nausea,cough,fever",COVID-19
"chills,muscle pain,vomiting",Flu
"runny nose,vomiting,nausea",Malaria
"vomiting,body ache,shortness of breath",Malaria
"cough,runny nose,body ache",Malaria
"fever,body ache,sore throat",Malaria
"chills,nausea,body ache",Malaria
"weakness,nausea,chills",Malaria
"body ache,cough,muscle pain",Malaria
"headache,shortness of breath,sore throat",COVID-19
"body ache,fever,headache",Flu
"headache,runny nose,body ache",Allergy
"fever,body ache,cough",Malaria
"fever,weakness,shortness of breath",COVID-19
"sore throat,muscle pain,runny nose",Flu
"headache,shortness of breath,sore throat",COVID-19
"body ache,vomiting,sore throat",Malaria
